Date,Close,Volume,Open,High,Low,Daily_Return,5_day_mean_close_price,5_day_mean_volume,Daily_Range,Volatility,Quarter,EMA_Close_5,EMA_Close_20
2013-07-23,14.9639,0.3125472752501078,0.0,0.0,0.0,0.5177873783143154,0.0,0.0,0.014155179204411214,0.0,2013Q3,0.0,0.0
2013-07-24,15.7325,0.5419271239239243,0.002551018921550005,0.0034407868777919515,0.0032779503577208408,0.724519260944046,0.0,0.0,0.01718786923985831,0.0,2013Q3,0.0014216122820711607,0.00041228834114889756
2013-07-25,15.6607,0.1915977648617599,0.002900140610250651,0.0028183192390046213,0.0033866423337169937,0.4994186715766846,0.0,0.0,0.006671918077983577,0.0,2013Q3,0.002236551615249077,0.000746796550282966
2013-07-26,15.7496,0.16320894337886716,0.0018345460888842813,0.0027478202702569815,0.0030955031122987253,0.5406350772540996,0.0,0.0,0.009791256400157669,0.0,2013Q3,0.0029442750685362007,0.0010971341018832514
2013-07-29,15.9925,0.2095818030038247,0.0029200272887209555,0.004494992387204383,0.004256178141686245,0.5798613970914661,0.08005165993700387,0.4988443707038809,0.018487593540764364,0.0,2013Q3,0.003865361616518778,0.0015444013038711513
2013-07-30,16.19,0.268521066334781,0.00472695299084093,0.005892402178582071,0.006044604787541402,0.5674926689237128,0.08130841212202958,0.48485980948420415,0.013225679401339067,0.1973346057493148,2013Q3,0.0048447178133641244,0.002055013533430461
2013-07-31,16.1618,0.28161645412980474,0.005719077283414295,0.005930110929307564,0.0060845324521930505,0.5107767952996408,0.0817484445117462,0.4021742776712755,0.01320204805041356,0.08058286910699813,2013Q3,0.00544546286789073,0.0025018691322011566
2013-08-01,16.3099,0.1684919206895115,0.005869884595147326,0.00582408922436925,0.0068431580805743825,0.5546696113142682,0.08241387434497245,0.3948348973267047,0.0008979913351714729,0.06172927359637426,2013Q3,0.006119887204234939,0.0029856100724942602
2013-08-02,16.5193,0.2343621826265943,0.006315125229787721,0.0070050835768007,0.007516382870673036,0.5694619940497833,0.0832028166472433,0.41743613542449,0.008357621110673601,0.06264789552739146,2013Q3,0.006956812317178568,0.0035356056859686402
2013-08-05,16.7661,0.2775648548448574,0.007633170086179725,0.00853092172209853,0.008603857181532545,0.5779193427332164,0.08399575644851227,0.43903038970606645,0.014903505317053922,0.06170049208795749,2013Q3,0.007971246794263517,0.004165607913662675
2013-08-06,16.6161,0.293525881915475,0.00828998288343459,0.00876919730639289,0.008607739037818113,0.481778376421446,0.08443250883905094,0.4469729626163859,0.018282788499409418,0.09517467452655881,2013Q3,0.008370094548293752,0.004655147723662795
2013-08-07,16.6064,0.2583923389513712,0.007457504426358827,0.007815001961948037,0.008528438259412768,0.5154377751750435,0.08488822372483713,0.43959601446465535,0.0056557699881842945,0.09343394666466778,2013Q3,0.008618051808284663,0.005092861471990839
2013-08-08,16.4646,0.21706204177058092,0.007468552581064533,0.0072488241974320855,0.007772030834623175,0.48341950862672917,0.08504679118509605,0.45502391181124835,0.008239464356045792,0.10650429457392653,2013Q3,0.008521081574641223,0.00541282459170514
2013-08-09,16.2304,0.22752434918219822,0.006439416970227027,0.006538369473618633,0.006920240655387974,0.4605357842526481,0.0847506687593119,0.45285193055805856,0.010098463962190087,0.10610866265557874,2013Q3,0.008023255469801288,0.005576686709779899
2013-08-12,16.6914,0.3216964152578017,0.006088085650585245,0.008136892602198909,0.007510282810795688,0.6321077371385844,0.08467410127850168,0.4668699558098268,0.024757778653013218,0.1586503396592544,2013Q3,0.008544042831126863,0.0059722300901842995
2013-08-13,17.4846,0.8187318131462725,0.008866144151337713,0.01321336485566292,0.009772295923491228,0.7090551584197194,0.0855643135553917,0.6336972770620424,0.06579755809373768,0.2460132480864453,2013Q3,0.01035834715858204,0.006755586815311174
2013-08-14,17.8036,0.6987010087510118,0.014180858972522775,0.015085139801094535,0.01479264520253823,0.5912196322203785,0.08679144324784155,0.7735576852159648,0.02146514375738486,0.24001159559538449,2013Q3,0.012157909811937123,0.007635454428477628
2013-08-15,17.7825,0.44319294597656567,0.013893054542438846,0.014723900899217074,0.013938082268813337,0.5130172890769249,0.08814229040928469,0.8453862971141954,0.028397006695549284,0.22640295275601197,2013Q3,0.013318591420611925,0.008420206775859501
